response,paper_symbol,fitted_coefficient,source
etch_rate,b0,0.4344159090909091,fit_from_transcribed_table
etch_rate,b1,0.05270833333333325,fit_from_transcribed_table
etch_rate,b2,0.010208333333333248,fit_from_transcribed_table
etch_rate,b3,-0.00437499999999995,fit_from_transcribed_table
etch_rate,b4,-0.03395833333333328,fit_from_transcribed_table
etch_rate,b5,0.14672499999999977,fit_from_transcribed_table
etch_rate,b11,-0.014415909090909076,fit_from_transcribed_table
etch_rate,b22,-0.01691590909090916,fit_from_transcribed_table
etch_rate,b33,-0.015665909090909053,fit_from_transcribed_table
etch_rate,b44,-0.026915909090909053,fit_from_transcribed_table
etch_rate,b55,-0.029815909090909115,fit_from_transcribed_table
etch_rate,b12,0.0028125000000000008,fit_from_transcribed_table
etch_rate,b13,-0.0078124999999999644,fit_from_transcribed_table
etch_rate,b14,-0.015937499999999983,fit_from_transcribed_table
etch_rate,b15,0.03468749999999997,fit_from_transcribed_table
etch_rate,b23,0.028437500000000025,fit_from_transcribed_table
etch_rate,b24,-0.007187499999999975,fit_from_transcribed_table
etch_rate,b25,0.01843749999999995,fit_from_transcribed_table
etch_rate,b34,0.02218750000000005,fit_from_transcribed_table
etch_rate,b35,-0.023437499999999983,fit_from_transcribed_table
etch_rate,b45,0.027187499999999906,fit_from_transcribed_table
selectivity,b0,9.338636363636367,fit_from_transcribed_table
selectivity,b1,2.341666666666668,fit_from_transcribed_table
selectivity,b2,-0.3583333333333346,fit_from_transcribed_table
selectivity,b3,0.14166666666666547,fit_from_transcribed_table
selectivity,b4,2.9000000000000004,fit_from_transcribed_table
selectivity,b5,-1.7166666666666643,fit_from_transcribed_table
selectivity,b11,-0.05113636363636633,fit_from_transcribed_table
selectivity,b22,-0.01363636363636469,fit_from_transcribed_table
selectivity,b33,-0.0636363636363643,fit_from_transcribed_table
selectivity,b44,1.048863636363635,fit_from_transcribed_table
selectivity,b55,-0.4386363636363636,fit_from_transcribed_table
selectivity,b12,-0.8999999999999994,fit_from_transcribed_table
selectivity,b13,0.5999999999999998,fit_from_transcribed_table
selectivity,b14,0.6500000000000004,fit_from_transcribed_table
selectivity,b15,-1.1125000000000012,fit_from_transcribed_table
selectivity,b23,0.16250000000000084,fit_from_transcribed_table
selectivity,b24,-1.3375000000000001,fit_from_transcribed_table
selectivity,b25,1.6999999999999988,fit_from_transcribed_table
selectivity,b34,1.2874999999999994,fit_from_transcribed_table
selectivity,b35,-1.1500000000000006,fit_from_transcribed_table
selectivity,b45,-1.9250000000000003,fit_from_transcribed_table
nonuniformity,b0,4.307954545454547,project_fit_only
nonuniformity,b1,-0.12916666666666743,project_fit_only
nonuniformity,b2,-0.5375000000000005,project_fit_only
nonuniformity,b3,0.6791666666666666,project_fit_only
nonuniformity,b4,0.18750000000000072,project_fit_only
nonuniformity,b5,0.662499999999999,project_fit_only
nonuniformity,b11,-0.38295454545454494,project_fit_only
nonuniformity,b22,-0.02045454545454645,project_fit_only
nonuniformity,b33,-0.19545454545454322,project_fit_only
nonuniformity,b44,-0.18295454545454695,project_fit_only
nonuniformity,b55,-0.2704545454545466,project_fit_only
nonuniformity,b12,0.043749999999999394,project_fit_only
nonuniformity,b13,-0.8062499999999995,project_fit_only
nonuniformity,b14,-0.006249999999999638,project_fit_only
nonuniformity,b15,0.11875,project_fit_only
nonuniformity,b23,-0.1562500000000001,project_fit_only
nonuniformity,b24,-0.5562499999999998,project_fit_only
nonuniformity,b25,-0.15625000000000028,project_fit_only
nonuniformity,b34,0.29375000000000034,project_fit_only
nonuniformity,b35,0.8937499999999997,project_fit_only
nonuniformity,b45,0.1937499999999996,project_fit_only
anisotropy,b0,0.9665227272727274,fit_from_transcribed_table
anisotropy,b1,-0.0464166666666667,fit_from_transcribed_table
anisotropy,b2,0.0791666666666667,fit_from_transcribed_table
anisotropy,b3,0.001000000000000049,fit_from_transcribed_table
anisotropy,b4,-0.015000000000000046,fit_from_transcribed_table
anisotropy,b5,-0.03300000000000008,fit_from_transcribed_table
anisotropy,b11,-0.05014772727272726,fit_from_transcribed_table
anisotropy,b22,-0.007772727272727436,fit_from_transcribed_table
anisotropy,b33,-0.0255227272727273,fit_from_transcribed_table
anisotropy,b44,-0.049772727272727246,fit_from_transcribed_table
anisotropy,b55,-0.05152272727272721,fit_from_transcribed_table
anisotropy,b12,0.028750000000000046,fit_from_transcribed_table
anisotropy,b13,0.0037499999999999903,fit_from_transcribed_table
anisotropy,b14,-0.024499999999999977,fit_from_transcribed_table
anisotropy,b15,0.04324999999999999,fit_from_transcribed_table
anisotropy,b23,0.039500000000000014,fit_from_transcribed_table
anisotropy,b24,-0.01624999999999999,fit_from_transcribed_table
anisotropy,b25,0.035,fit_from_transcribed_table
anisotropy,b34,-0.01874999999999999,fit_from_transcribed_table
anisotropy,b35,0.02749999999999995,fit_from_transcribed_table
anisotropy,b45,0.021749999999999967,fit_from_transcribed_table
bias_voltage,b0,86.53409090909095,fit_from_transcribed_table
bias_voltage,b1,-65.37499999999999,fit_from_transcribed_table
bias_voltage,b2,10.625000000000023,fit_from_transcribed_table
bias_voltage,b3,7.124999999999949,fit_from_transcribed_table
bias_voltage,b4,-102.37500000000003,fit_from_transcribed_table
bias_voltage,b5,88.79166666666669,fit_from_transcribed_table
bias_voltage,b11,29.465909090909122,fit_from_transcribed_table
bias_voltage,b22,-0.9090909090908043,fit_from_transcribed_table
bias_voltage,b33,1.9659090909090609,fit_from_transcribed_table
bias_voltage,b44,38.21590909090909,fit_from_transcribed_table
bias_voltage,b55,25.215909090909022,fit_from_transcribed_table
bias_voltage,b12,-5.93749999999998,fit_from_transcribed_table
bias_voltage,b13,4.437500000000049,fit_from_transcribed_table
bias_voltage,b14,22.937500000000043,fit_from_transcribed_table
bias_voltage,b15,-13.812499999999979,fit_from_transcribed_table
bias_voltage,b23,-16.937499999999996,fit_from_transcribed_table
bias_voltage,b24,1.5624999999999891,fit_from_transcribed_table
bias_voltage,b25,4.812499999999983,fit_from_transcribed_table
bias_voltage,b34,-6.562499999999972,fit_from_transcribed_table
bias_voltage,b35,-2.562500000000003,fit_from_transcribed_table
bias_voltage,b45,-46.062500000000014,fit_from_transcribed_table
