run,sf6_code,o2_code,chf3_code,pressure_code,rf_power_code,sf6_sccm,o2_sccm,chf3_sccm,pressure_mtorr,rf_power_w,bias_voltage_v,si_etch_rate_um_min,si_sio2_selectivity,anisotropy,anisotropy_outward_slope,etch_rate_nonuniformity_pct,surface
1,-1,-1,-1,-1,1,20,6,7,60,140,477,0.430,5.9,0.590,false,1.0,smooth
2,1,-1,-1,-1,-1,40,6,7,60,60,47,0.320,13,0.690,false,2.4,smooth
3,-1,1,-1,-1,-1,20,14,7,60,60,232,0.200,4.7,0.940,true,2.8,rough
4,1,1,-1,-1,1,40,14,7,60,140,339,0.670,10,0.880,false,3.9,smooth
5,-1,-1,1,-1,-1,20,6,17,60,60,224,0.200,5.2,0.810,false,2.0,smooth
6,1,-1,1,-1,1,40,6,17,60,140,343,0.460,5.1,0.620,false,3.9,smooth
7,-1,1,1,-1,1,20,14,17,60,140,517,0.420,6.3,0.980,false,5.8,smooth
8,1,1,1,-1,-1,40,14,17,60,60,72,0.310,10,0.960,false,1.2,smooth
9,-1,-1,-1,1,-1,20,6,7,140,60,31,0.120,14,0.886,true,1.9,rough
10,1,-1,-1,1,1,40,6,7,140,140,50,0.550,11,0.560,false,4.2,smooth
11,-1,1,-1,1,1,20,14,7,140,140,224,0.400,6.0,0.810,true,1.3,rough
12,1,1,-1,1,-1,40,14,7,140,60,27,0.0550,13,0.700,false,2.7,smooth
13,-1,-1,1,1,1,20,6,17,140,140,154,0.350,5.6,0.640,false,8.1,smooth
14,1,-1,1,1,-1,40,6,17,140,60,28,0.130,30,0.460,false,1.9,smooth
15,-1,1,1,1,-1,20,14,17,140,60,42,0.190,12,0.886,true,2.7,rough
16,1,1,1,1,1,40,14,17,140,140,64,0.580,10,0.940,false,4.9,smooth
17,-2,0,0,0,0,10,10,12,100,100,366,0.240,5.1,0.881,true,3.6,rough
18,2,0,0,0,0,50,10,12,100,100,47,0.490,12,0.690,false,2.3,smooth
19,0,-2,0,0,0,30,2,12,100,100,62,0.360,6.4,0.940,false,7.6,smooth
20,0,2,0,0,0,30,18,12,100,100,108,0.350,11,0.970,true,1.2,rough
21,0,0,-2,0,0,30,10,2,100,100,58,0.360,9.3,0.938,true,2.2,rough
22,0,0,2,0,0,30,10,22,100,100,135,0.360,7.7,0.830,false,5.2,smooth
23,0,0,0,-2,0,30,10,12,20,100,448,0.360,5.9,0.730,false,3.8,smooth
24,0,0,0,2,0,30,10,12,180,100,35,0.270,20,0.844,true,3.7,rough
25,0,0,0,0,-2,30,10,12,100,20,23,0.00680,6.8,0.900,false,3.3,smooth
26,0,0,0,0,2,30,10,12,100,180,356,0.600,7.2,0.660,false,3.5,smooth
27,0,0,0,0,0,30,10,12,100,100,88,0.450,9.7,0.970,false,5.5,smooth
28,0,0,0,0,0,30,10,12,100,100,85,0.440,10,0.940,false,6.3,smooth
29,0,0,0,0,0,30,10,12,100,100,86,0.430,9.2,0.950,false,3.8,smooth
30,0,0,0,0,0,30,10,12,100,100,84,0.450,10,0.970,false,2.3,smooth
31,0,0,0,0,0,30,10,12,100,100,87,0.430,8.9,0.970,false,3.7,smooth
32,0,0,0,0,0,30,10,12,100,100,85,0.430,9.4,0.960,false,3.9,smooth
